id,id soseda
102492,102491
270652,2703003
270652,2703063
270652,2703002
270652,2701314
210550,2103090
110505,1102437
110505,1101519
110505,110554
110505,1103272
110505,110504
101601,10326
101601,10412
101601,101372
101601,10327
101601,10153
101601,10448
101601,101371
101601,101888
3903135,3903138
3903135,3903136
3903135,3902935
3903135,3903134
1101746,1101745
1101746,1102892
1101746,1101747
1101746,1101748
2602908,2602909
2602908,2602910
2602908,260845
10279,10590
10279,10383
10279,10455
10279,10221
10279,10280
10279,10151
10279,10456
10279,10156
10279,10243
10279,10713
10279,10714
10279,10454
10279,10385
10279,101684
10279,101538
10279,10384
10629,101338
10629,101339
10629,103566
10629,101053
10629,101344
270717,270719
270717,270563
270717,270718
301865,301864
301865,301915
110293,110466
110293,1102097
110293,1101778
110293,1102098
110293,110344
101482,101475
101482,10435
101482,101484
101482,102518
101482,10290
101482,101928
101482,101486
101528,101527
101528,10657
6403694,6403691
6403694,6403693
6403694,6403688
3080,3095
3080,301532
3080,30358
3080,301587
3080,30146
3080,303477
3080,30248
3080,301535
10150,10374
10150,10758
10150,10410
10150,101625
10150,10417
10150,104023
10150,101595
10150,10418
260828,2101975
3901364,3901365
3901364,3902395
3901364,3901366
3901364,3901903
3901364,3901833
3901364,3901901
6801302,6801303
6801302,6801295
6801302,6801293
6801302,6801296
6801302,6801301
6801302,6801294
6801302,6801297
6801302,6801298
301035,30324
301035,30619
301035,301392
301035,30146
301035,302660
301035,301535
301035,30616
210546,2103354
210546,2103224
5902546,5902542
5902546,5902543
5902546,5902544
1101245,110346
1101245,1103342
1101245,110251
1101245,110509
1101245,110347
1101245,110508
2703581,2703582
2703581,2703577
10280,10590
10280,10383
10280,10455
10280,10221
10280,10456
10280,10156
10280,10243
10280,10713
10280,10279
10280,10714
10280,10454
10280,101684
10280,101538
10280,10384
2601774,2602583
2601774,2603352
280943,280944
280943,280942
30289,301531
30289,301261
30289,30371
30289,30408
30289,30154
30289,30357
30289,301579
30289,301578
3096,30389
3096,30167
3096,3095
3096,301323
3096,30166
3096,303477
3096,30248
3096,30391
302926,303349
302926,30931
302926,30539
6302352,6302351
2803593,2803592
103446,10679
103446,103493
103446,103485
103446,103589
103446,103465
103446,103558
2901789,2901791
2901789,2901790
1150163,16303403
1150163,13203685
2503065,250763
2503065,250762
101928,10373
101928,10731
101928,101482
101928,101486
403849,403556
403849,403848
10453,10171
10453,10456
10453,101546
10453,10172
10453,101545
10453,103476
10453,10385
10453,10452
10453,102072
10453,101543
10453,101541
10453,101542
10453,101540
10453,10384
10453,10676
10453,10175
10453,10173
10687,10684
10687,101108
10687,101109
10687,10588
10687,10589
10687,10686
16203436,16202970
16203436,16203437
103692,1070
103692,10936
103692,101058
103692,101057
501491,502729
501491,501490
501491,502479
501491,501493
501491,5075
501491,503710
501491,50299
501491,50122
2701857,2701863
2701857,2701856
2701857,2701855
10392,101049
10392,101337
10392,102571
10668,102800
10668,103474
10668,101368
10668,101554
10668,101553
10668,103478
103104,102492
103104,103203
2602363,2602362
2803194,2803200
2803194,2803192
6801569,6801570
250860,2503358
250860,250861
250860,2501722
10404,10403
10404,10396
1013,101037
1013,1012
1013,101373
1013,103597
13803955,13803664
13803955,13803663
13803955,13803956
6802200,6801309
260869,260870
5902268,5902266
5902268,5902264
5902268,5902265
2503931,250859
2503931,250854
2601959,2603622
2101925,2101803
2101925,2102577
2101925,2101924
1102853,1102854
1102853,1102697
1102853,1102698
5702860,5702863
5702860,5702861
5702860,5702857
5702860,5702849
5103381,5103377
3901831,3902602
3901831,3901832
3901831,3902675
3901831,3902083
3901831,3901090
3901831,3902077
3901831,3901862
3901831,3901848
10243,10711
10243,10383
10243,10712
10243,10259
10243,10280
10243,101624
10243,10323
10243,10156
10243,10260
10243,10101
10243,10378
10243,10713
10243,10279
110883,1103670
110883,1101631
2501218,2501219
2501218,2501217
2501218,2501220
102152,10826
102152,101395
102152,101394
102152,102269
5801024,5801023
5801024,5801025
5801024,5801026
302635,302634
302635,302636
302635,30295
6403991,6403992
1103254,1103261
1103254,1103255
1103254,1103256
1103254,1101620
1103254,1102816
1103254,1103174
1103254,1103259
301449,1103105
301449,302625
301449,1102459
301449,1102478
301449,1101414
3901077,3901078
3901077,3901079
3901077,3901581
3901077,3901580
501110,50226
501110,501661
501110,50782
501110,501611
501110,50119
40518,40519
40518,40515
40518,40517
40518,40516
260541,260865
260541,260450
30499,30134
30499,302582
30499,30356
30499,30245
30499,30467
30499,30244
30499,301285
103485,103564
103485,103570
103485,103563
103485,103446
103485,103558
110303,1102573
110303,110507
110303,1102734
110303,1102134
110303,1102124
110303,110302
110303,1102733
1102783,1102779
1102783,1103615
3902067,3902034
3902067,3902012
3902067,3902013
3902067,3902033
2601164,2602946
2601164,2602399
2601164,2603725
2601534,2602507
1087,101102
1087,101103
1087,103520
1087,10158
1087,101101
1087,10584
1087,101755
30708,30380
30708,302711
30708,30379
30708,302118
30708,301345
30708,30438
13804029,13804027
13804029,13804028
13803646,13803644
13803646,13803643
30358,30304
30358,30324
30358,30199
30358,301532
30358,301392
30358,301587
30358,30146
30358,3080
30358,301535
30358,30305
30358,301579
30358,30288
30358,301578
101379,106
101379,101377
101379,1040
101379,103589
101379,10210
6303304,6302267
2101134,210547
2101134,2101685
2101134,2103357
2101134,2103225
1102042,1102041
280938,2803632
280938,280937
280938,2803633
280938,2804035
280938,280939
280938,2803807
30134,30274
30134,30499
30134,302358
30134,302582
30134,30356
30134,30245
30134,30467
30134,30337
30134,30244
30134,3085
101050,10286
101050,101045
101050,103086
101050,101046
101050,101048
101050,101622
101050,1090
101050,101051
101050,101047
2501920,250215
2501920,250475
103597,1013
103597,102725
103597,102571
103597,1012
260845,2602909
260845,2602910
260845,2602908
2501189,2501191
2501189,2501194
2501189,2501190
2501189,2501193
2103220,2103219
10428,10229
2701314,2702813
2701314,2703063
2701314,2701316
2701314,270649
2701314,270652
2701314,2702812
2701314,270653
310960,310958
310960,310959
13803996,13803873
13803996,13803874
